CATALOGORY	          	Item Description	Units of Measure (sold as) (required)	Unit Cost 	Supplier	Taxable
ACCESS CONTROL DEVICE	ELECTRIC DOOR STRIKE	HES 1500-629 1500 Series Universal Electric Strike	ea	417.56	ADI Global Distribution	Yes
ACCESS CONTROL DEVICE	ELECTRIC DOOR STRIKE	HES 1500-629-LM 1500 Series Universal Electric Strike, Lock Monitor	ea	477.62	ADI Global Distribution	Yes
ACCESS CONTROL DEVICE	ELECTRIC DOOR STRIKE	HES 1500-630 1500 Series Modular Universal Electric Strike for Cylindrical or Mortise Locks, 12/24VDC	ea	336.314	ADI Global Distribution	Yes
ACCESS CONTROL DEVICE	ELECTRIC DOOR STRIKE	HES 1500-630-LMS 1500 Series Universal Electric Strike, Lock Monitor and Strike Monitor	ea	411.84	ADI Global Distribution	Yes
ACCESS CONTROL DEVICE	ELECTRIC DOOR STRIKE	HES 1500C-630 1500 Series,  Includes 1LB Faceplate Kit for Latchbolts	ea	316.789	ADI Global Distribution	Yes
ACCESS CONTROL DEVICE	ELECTRIC DOOR STRIKE	HES 9400-12/24D-630-LBM 9400 Series Slim-Line, Outdoor Rated with Latchbolt Monitor	ea	477.389	ADI Global Distribution	Yes
ACCESS CONTROL DEVICE	ELECTRIC DOOR STRIKE	HES 9400-630 9400 Series Slim-Line, Outdoor Rated 	ea	403.689	ADI Global Distribution	Yes
ACCESS CONTROL DEVICE	ELECTRIC DOOR STRIKE	HES 9500-12/24D-630-LBM 9500 Series with Latchbolt Monitor, Fire Rated	ea	435.754	ADI Global Distribution	Yes
ACCESS CONTROL DEVICE	ELECTRIC DOOR STRIKE	HES 9500-630 9500 Series Fire Rated	ea	467.489	ADI Global Distribution	Yes
ACCESS CONTROL DEVICE	ELECTRIC DOOR STRIKE	HES 9500-630-LBSM 9500 Series  with Latchbolt Strike Monitor, Fire Rated	ea	403.436	ADI Global Distribution	Yes
ACCESS CONTROL DEVICE	ELECTRIC DOOR STRIKE	HES 9600-12/24-630-LBM 9600 Series with Latchbolt Monitor, Windstorm Resistant	ea	481.789	ADI Global Distribution	Yes
ACCESS CONTROL DEVICE	ELECTRIC DOOR STRIKE	HES 9600-12/24-630-LBSM 9600 Series with Latchbolt Monitor Strike, Windstorm Resistant	ea	454.289	ADI Global Distribution	Yes
ACCESS CONTROL DEVICE	ELECTRIC DOOR STRIKE	HES 9600-12/24D-630 9600 Series Windstorm Resistant	ea	329.989	ADI Global Distribution	Yes
						
