CATALOGORY	Item Name (required)	Item Description	Units of Measure (sold as) (required)	Unit Cost 	Supplier	Taxable
CABLE	ACCESS CONTROL CABLE	Riser, Shielded, CL3R, FPLR, CMR, FT4, Sunlight Resistant, 22/6 stranded shielded, 22/4 stranded, 22/2 stranded, and 18/4 stranded	ft	0.702988	ADI Global Distribution	Yes
CABLE	ACCESS CONTROL CABLE	Plenum, Shielded, CL3R, FPLR, CMR, FT4, Sunlight Resistant, 22/6 stranded shielded, 22/4 stranded, 22/2 stranded, and 18/4 stranded	ft	0.84183	ADI Global Distribution	Yes
CABLE	ACCESS CONTROL CABLE	Plenum Profusion Access Control Cable, Unjacketed	ft	0.760914	ADI Global Distribution	Yes
CABLE	ACCESS CONTROL CABLE	Riser Profusion, Shielded, CL3R, FPLR, CMR, FT4, Sunlight Resistant, Unjacketed	ft	0.66913	ADI Global Distribution	Yes
CABLE	BARE WIRE	COPPER #6	ft	0.8218243	ECKART SUPPLY	Yes
CABLE	BARE WIRE	COPPER #4	ft	1.297395	ECKART SUPPLY	Yes
CABLE	CAT 6	PLENUM CABLE #77-240-7B INDOOR	ft	0.277541	GRAYBAR	Yes
CABLE	CAT 6	SUNLIGHT RESISTANT #77-246-41 OUTDOOR - NO SHIELDED	ft	0.424765	ACCU TECH CORP	Yes
CABLE	CAT 6	23/8 4PR SO JKT CAT6 Plenum CMP UL 550MHz Bl	ft	0.242	THE SYSTEMS DEPOT	No
CABLE	CAT 6	23/8 4PR SO JKT CAT6 Riser CMR ETL 550MHz Bl	ft	0.132	THE SYSTEMS DEPOT	No
CABLE	CAT 6	Direct Burial Cable, 24/4 Solid BC, Unshielded, UTP, Sunlight Resistant, Wet Location	ft	0.27423	ADI Global Distribution	Yes
CABLE	CAT 6	Plus Plenum Cable, 23/4 Solid BC, Shielded, CMP, FT6	ft	0.537229	ADI Global Distribution	Yes
CABLE	CAT 6	Riser Cable, 23/4 Solid BC, Unshielded, UTP, CMR, FT4, Sunlight Resistant	ft	0.150535	ADI Global Distribution	Yes
CABLE	CAT 6	Plenum Cable, 23/4 Solid BC, Unshielded, UTP, CMP, FT6	ft	0.266706	ADI Global Distribution	Yes
CABLE	CAT 6	Plenum Cable, 23/4 Solid BC, Unshielded, CMP LP, FT6	ft	0.26763	ADI Global Distribution	Yes
CABLE	CAT 6	Plus Riser Cable, 23/4 Solid BC, Shielded, CMR, FT4, Sunlight Resistant	ft	0.266673	ADI Global Distribution	Yes
CABLE	CAT 6	Plus Riser Cable, 23/4 Solid BC, Unshielded, UTP, CMR, FT4, Sunlight Resistant	ft	0.155122	ADI Global Distribution	Yes
CABLE	CAT 6	Plus Plenum Cable, 23/4 Solid BC, UTP, Unshielded, CMP, LP, FT6	ft	0.298452	ADI Global Distribution	Yes
CABLE	CAT 6	Direct Burial Cable, 24/4 Solid BC, Unshielded, UTP, Direct Burial, Sunlight Resistant	ft	0.264484	ADI Global Distribution	Yes
CABLE	CAT 6	CAT6A Plenum Cable, 23/4 Solid BC, Unshielded, UTP, CMP, FT6	ft	0.63404	ADI Global Distribution	Yes
CABLE	FIBER OPTIC CABLE	6 FIBER, OS2, SINGLE MODE, INDOOR/OUTDOOR #F308-006U13-E991	ft	0.448151	ACCU TECH CORP	Yes
CABLE	FIBER OPTIC CABLE	24 FIBER RISER INDOOR/OUTDOOR 	ft	1.166	TELECOM SPECIALTIES	Yes
