Group	Item Name (required)	Item Description	Units of Measure (sold as) (required)	Unit Cost 	Supplier	Taxable
BOX	OCTAGON BOX	4" - 1-1/2" DEEP 5451N	ea	5.6048	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	OCTAGON BOX	EARS 4" - 1-1/2" DEEP 54151NE	ea	9.5291	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	OCTAGON BOX	4" - 2-1/8" DEEP 54171N25	ea	11.1166	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	OCTAGON BOX	CEILING FAN BOX 4" - 1-1/2" 5415CFB	ea	13.8151	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	OCTAGON BOX EXTENSION	4" - 1-1/2" DEEP KO 1/2" - 551511225	ea	6.8538	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	OCTAGON BOX EXTENSION	4" - 1-1/2" DEEP KO 1/2" & 3/4" - 551511234	ea	8.5523	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 1 6X6X4 SCREW COVER	ea	8.239	CITY ELECTRIC SUPPLY 	Yes
BOX	PULL BOX	NEMA TYPE 1 8X8X8 SCREW COVER GASKET BOX	ea	57.497	CITY ELECTRIC SUPPLY 	Yes
BOX	PULL BOX	NEMA TYPE 1 6X6X6 SCREW COVER GASKET BOX	ea	52.228	CITY ELECTRIC SUPPLY 	Yes
BOX	PULL BOX	NEMA TYPE 1 6X6X6 SCREW COVER	ea	12.529	CITY ELECTRIC SUPPLY 	Yes
BOX	PULL BOX	NEMA TYPE 1 4X4X4 SCREW COVER	ea	8.657	CITY ELECTRIC SUPPLY 	Yes
BOX	PULL BOX	NEMA TYPE 1 20X20X12 SCREW COVER	ea	451	CITY ELECTRIC SUPPLY 	Yes
BOX	PULL BOX	NEMA TYPE 1 16X16X8 SCREW COVER	ea	46.233	CITY ELECTRIC SUPPLY 	Yes
BOX	PULL BOX	NEMA TYPE 1 16X16X8 OUTDOOR	ea	77.869	CITY ELECTRIC SUPPLY 	Yes
BOX	PVC JUNCTION BOX	4 X 4 X 4	ea	22.3114	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PVC JUNCTION BOX	6 X 6 X 4	ea	28.3247	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PVC JUNCTION BOX	6 X 6 X 6	ea	31.8713	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PVC JUNCTION BOX	8 X 8 X 4	ea	51.5303	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PVC JUNCTION BOX	12 X 12 X 6	ea	88.6552	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOTTOM BOX	GANGABLE 1-1/2" DEEP - LXWLE	ea	3.3818	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOTTOM BOX	EARS 1-1/2" DEEP - SWB25	ea	9.1564	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOTTOM BOX	GANGABLE & EAR 2-1/2" DEEP - LXW0W25	ea	5.6056	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOTTOM BOX	GANGABLE & EAR 3-1/2" DEEP - CXW0W	ea	9.6336	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOX	4 X 4 X 1/2" KO TP410	ea	2.74	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOX	4 X 4 X 3/4" KO TP412	ea	2.4116	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOX	4 X 4 X 1/2 & 3/4" KO TP414	ea	2.4439	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOX	4-11/16" X 1-1/2" DEEP 1/2" & 3/4" KO - TP548	ea	7.34	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOX	4-11/16" X 2-1/8" DEEP 1/2" & 3/4" KO - TP563	ea	5.4458	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOX	4-11/16" X 2-1/8" DEEP 3/4" X 1" KO - TP558	ea	7.64328	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOX	4-11/16" X 2-1/8" DEEP 1" KO - TP560	ea	7.8265	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOX	4-11/16" X 2-1/8" DEEP 1-1/4" KO - TP562	ea	8.12	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOX EXTENSION RING	4 X 4 X 1/2" KO TP424	ea	5.8706	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOX EXTENSION RING	4 X 4 X 1/2" & 3/4" TP428	ea	5.2606	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOX EXTENSION RING	4-11/16" X 1-1/2" DEEP 1/2" & 3/4" KO - TP550	ea	10.55	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SQUARE BOX EXTENSION RING	4-11/16"  X 2-1/8" DEEP 1/2" & 3/4" KO - TP564	ea	11.4254	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SWITCH BOX	2-1/2" X 1/2" KO WITH STUD BRACKET - CDV25	ea	5.7385	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SWITCH BOX	2-3/4" X 1/2" KO WITH STUD BRACKET - CWV12	ea	9.5396	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SWITCH BOX	2-1/2" x 1/2" KO - CDLE25	ea	7.1498	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SWITCH BOX	2-3/4" X 1/2" KO - CWLE1225	ea	7.2942	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SWITCH BOX	3-1/2" X 1/2" KO - CYLE12	ea	5.9912	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SWITCH BOX	EARS 2-1/2" X 1/2" KO TP218	ea	4.1184	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SWITCH BOX	EARS 2-3/4" X 1/2" KO TP676	ea	5.7613	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SWITCH BOX	EARS 3-1/2" X 1/2" KO TP252	ea	6.3319	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SWITCH BOX	EARS 2-3/4" X 3/4" KO TP678	ea	8.1192	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	SWITCH BOX	EARS 3-1/2" X 3/4" KO TP254	ea	10.031	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	UTILITY BOX	1-7/8" D 1/2" KO 13.0 CU IN TP594	ea	2.8016	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	UTILITY BOX	2-1/8" D 1/2" KO 14.5 CU IN TP604	ea	4.8237	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	UTILITY BOX	1-7/8" D 3/4" KO 13.0 CU IN TP596	ea	2.8284	ELLIOTT ELECTRIC SUPPLY	Yes
